Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2059,BCHMIS - CTAR,"In 2012 the purpose of this project is to develop a generic review module that will allow multiple reviews (architectural, environmental etc.) to be conducted on each project within a capital development application or post award change request. It also supports consolidated review of all individual reviews and identification of conditions of award based on the reviews. It supports electronic integration of the conditions with the awards module. The project entails developing a prototype in FY2012-Q1 and roll out of the capabilities in modular releases in the remainder of 2012. This project will follow the HRSA EPLC.",03/10/2011,28/09/2012,,,0.826,0,0,-0.005,-0.61,0.826,0.831,23/07/2012,09:41:16,290272
009-000281361,1090,9,Department of Health and Human Services,CMS National Fraud Prevention Program,2193,NFPP Development,"This project will develop models that predict fraud, a case managment system to integrate and operate the fraud detecdted by  all models CPI and its contractors develop,  and a risk scoring module that will combine models into consolidated  application that can be applied to claims data.",01/07/2011,31/12/2020,,,170 ($m),-63,-17.31,0,0,6.581,6.581,26/04/2012,10:51:09,288107
009-000281361,1090,9,Department of Health and Human Services,CMS National Fraud Prevention Program,2194,NFPP - MODELING,This project will develop models to detect medicare fraud that the NFPP Development project will integrate with other models and implement to detect fraud before payments are made.  CPI implemented this project to ensure that a variety of fraud detection methods are applie to development of models.,08/07/2011,31/12/2020,,,27,-62,-17.32,-1.328,-51.02,2.603,3.931,28/06/2012,07:59:30,288127
009-000281361,1090,9,Department of Health and Human Services,CMS National Fraud Prevention Program,2195,NFPP - PILOT,Develop an estimate of probable Medicare fraud that CMS can use for program planning and evaluation of their fraud detection activities.,30/07/2010,31/12/2020,01/07/2012,01/07/2012,80,-61,-11.82,0,0,4,4,26/04/2012,10:51:09,288128
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2060,QPI - Psychiatric Hospitals (10322),The Psychiatric Hospitals Program will include all IT services and functions necessary to serve the needs of the Psychiatric Hospitals Inpatient and Outpatient Public Reporting Program. This program is new and in the development phase.,10/03/2012,14/06/2013,,,26.03,0,0,-0.019,-0.07,26.03,26.049,23/07/2012,09:41:18,294226
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2061,QPI- Physician Quality Reporting System (3002),"In 2012, the Physician Quality Reporting System (PQRS) will continue to offer expanded measures and reporting options for Eligible Professionals (EPs).  The number of quality measures to be included for 2012 is not established at this time.  There were 190 quality measures in 2011.  For 2012 there will continue to be multiple reporting options through claims and will continue to include measure groups.  The Physician Quality Reporting System will support multiple submission methods such as Electronic Health Record Registry and Group Practices Reporting Options (GPROs I and II).  It is anticipated that the incentive will be based, as in past years, on the total allowed Medicare Physician Fee Schedule charges for the reporting period.Continuing in 2012, there will be the Electronic Prescribing (eRx) Initiative which is available for those EP's that are considered successful electronic prescribers (eRx-ers) as defined in the CMS eRx specifications.  As in 2011, both individual and selected GPROs may report on the eRx measure through claims, registries or EHR's.  Successful eRx-ers will potentially earn an incentive payment based on their total allowed Medicare Physician Fee Schedule charges for the 12 month reporting period.  Currently successful electronic prescribers will not be eligible to receive an incentive under the eRx Incentive Program if they are also receiving an incentive under the Health Information Technology (HIT) Incentive Program authorized by the Recovery Act, enacted on February 17, 2009. Future rule making may further align the incentives programs. EP's that are not electronic prescribers will receive a penalty adjustment starting in 2012 based on the first 6 months of claims data submitted in 2011.  The eRx Initiative will provide Interim Feedback Reporting to EP's.  Measures and other data sources may be added for the 2012 Program Year to allow EP's options for successfully reporting the eRx measure for both the penalty and incentive programs.  EP's may have the flexibility of expanding and adding additional hardship codes for exemption for all years.",10/03/2012,29/09/2013,,,53.04,0,0,0.003,0.01,53.04,53.037,23/07/2012,09:41:18,294311
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2062,QPI- Hospital Value Based Purchasing(3001),"The Hospital Value Based Purchasing is an upgrade to the Hospital Reporting 1.0 release and will include all services and functions necessary to serve the needs of Hospital Inpatient Quality Reporting and Hospital Outpatient Quality Reporting.  In addition, it includes the new updates to provide Value Based Purchasing measurements.",10/03/2012,30/06/2013,,,20.546,0,0,0,0,20.546,20.546,23/07/2012,09:41:18,294349
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2063,QPI - Standard Data Processing System,"The standard data processing system (SDPS) is the data infrastructure for the QIO program. This includes the application development, maintenance, data warehousing, system administration, helpdesk support, and communication lines.",10/03/2012,01/06/2013,,,23.98,0,0,0.002,0.01,23.98,23.978,23/07/2012,09:41:18,294866
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2064,QPI - Ambulatory Surgical Centers,"The 2011 Out-Patient Payment Final Rule proposed a plan for linking Ambulatory Surgical Center (ASC) payment to reporting quality data in the following year; therefore, in CY 2012 CMS is to implement an ASC pay-for-reporting program.   The ASC Quality Collaborative (ASC QC) has recommended six measures with National Quality Forum endorsement to be used in implementing ASC pay-for-reporting. This project is to build the infrastructure and modifiy existing systems to accommodate our needs.",01/01/2012,30/06/2013,,,10.406,0,0,-0.077,-0.74,10.406,10.483,23/07/2012,09:41:18,294904
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2065,"QPI - LTC hospitals, IRF and hospice programs (3004)","The Long Term Care, Inpatient Rehabilitation Hospitals and Hospice Program is being supported by this project. This project includes the development of the business requirements, submission of change requests for existing IT systems and the redesign of the existing IT systems.",10/03/2012,01/06/2013,,,26.85,0,0,0,0,26.85,26.85,23/07/2012,09:41:18,295473
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2066,QPI - Cancer Hospitals (3005),"The Cancer Hospital program is being supported by this project. This project includes the development of business requirements, submission of change requests for existing IT systems, and redesign of the existing IT system.",07/05/2012,29/06/2013,,,3.25,0,0,-0.006,-0.18,3.25,3.256,23/07/2012,09:41:18,295565
009-000281783,1094,9,Department of Health and Human Services,CMS Accountable Care Organizations,2067,ACO Accountable Care Organizations,"The purpose of this project is to initiate technical solutions to implement the Medicare Shared Savings Program ACO technical operations.  This project encompasses the technical solution to share data, conduct eligibility verification, assign beneficiaries, calculate annual expenditures, calculate and apply performance and quality scores, calculate shared savings, and report on programs.  Due to the heavy dependency on the integration of CMS IT infrastructure, collaboration with contractors for programming, design, system development, and ongoing system maintenance, operating the SSP ACO is heavily dependent on the funding of this project.",15/04/2011,16/01/2014,,,103.589,0,0,-6.955,-6.98,99.637,106.592,26/07/2012,10:08:22,289722
009-000282322,1096,9,Department of Health and Human Services,CMS Physician Feedback Program,2196,Physician Feedback,"This project supports the Physician Feedback IT investment that is needed to support a number of IT needs that are critical to the viable and efficient progression of the Physician Feedback Program as it expands to reach all physicians and non-physician practitioners providing care to Medicare beneficiaries.  These needs include: report creation (via manipulation and analysis of various Medicare beneficiary/Medicare provider data), storage of information used to create reports, and an efficient electronic report delivery mechanism that allows for user authentication and retrieval.",01/09/2011,29/09/2012,29/09/2012,29/09/2012,1.496,0,0,-0.14,-9.47,1.479,1.619,23/07/2012,09:41:20,285027
